Country,Alpha-3,Count per Capita
Nauru,NRU,0.0
Nepal,NPL,9.988920739320824e-05
Netherlands,NLD,0.00041387090330086135
New Caledonia,NCL,5.208972827765313e-05
New Zealand,NZL,0.0019726028097084326
Nicaragua,NIC,2.7144828678607305e-05
Niger,NER,2.7516292541636494e-06
Nigeria,NGA,0.00044823197210516183
Niue,NIU,0.003401360544217687
Norfolk Island,NFK,0.0
North Macedonia,MKD,5.100704917419587e-05
Northern Mariana Islands,MNP,0.001791359325605901
Norway,NOR,0.0003765850266577016
Oman,OMN,0.00027940335731979106
Pakistan,PAK,0.00010066191247372274
Palau,PLW,0.00116991643454039
"Palestine, State of",PSE,0.0005462932253446741
Panama,PAN,0.0002854767067784596
Papua New Guinea,PNG,4.094659623687173e-05
Paraguay,PRY,4.580908175257961e-05
Peru,PER,2.8073562897166284e-05
Philippines,PHL,0.0004139047519456854
Pitcairn,PCN,0.0
Poland,POL,7.438099286996134e-05
Portugal,PRT,0.00024279934634059263
Puerto Rico,PRI,0.0005753872422342871
Qatar,QAT,0.0007176634085185912
Réunion,REU,1.6647363652146202e-05
Romania,ROU,2.6533869099310583e-05
Russian Federation,RUS,8.335653548628577e-06
Rwanda,RWA,0.00015857095028662217
Saint Barthélemy,BLM,0.00021238186258893492
"Saint Helena, Ascension and Tristan da Cunha",SHN,0.3572267920094007
Saint Kitts and Nevis,KNA,0.001623236083455978
Saint Lucia,LCA,0.001424731182795699
Saint Martin (French part),MAF,0.00024338137862029802
Saint Pierre and Miquelon,SPM,0.00016477179106936892
Saint Vincent and the Grenadines,VCT,0.0009091652953423461
Samoa,WSM,0.0002257579566852575
San Marino,SMR,0.00036358127556430843
Sao Tome and Principe,STP,0.0
Saudi Arabia,SAU,0.00012636364200172413
Senegal,SEN,3.094624077161816e-05
Serbia,SRB,5.935244783626412e-05
Seychelles,SYC,0.0006017505470459519
Sierra Leone,SLE,8.310201153506799e-05
Singapore,SGP,0.0008265582655826558
Sint Maarten (Dutch part),SXM,0.0007059377206055377
Slovakia,SVK,4.109650639152034e-05
Slovenia,SVN,0.00015018011925270372
Solomon Islands,SLB,8.411214953271028e-05
Somalia,SOM,0.0001372867587327376
South Africa,ZAF,0.0009516895332694598
South Georgia and the South Sandwich Islands,SGS,0.26666666666666666
South Sudan,SSD,3.132470530046987e-05
Spain,ESP,0.0003118969029567801
Sri Lanka,LKA,0.00023433177525517506
Sudan,SDN,6.6921388833471806e-06
Suriname,SUR,0.0003230940222067137
Svalbard and Jan Mayen,SJM,0.00039032006245121
Sweden,SWE,0.00029560718625617593
Switzerland,CHE,0.0005195645919248106
Syrian Arab Republic,SYR,4.5248868778280546e-06
"Taiwan, Province of China",TWN,0.00010007084522295099
Tajikistan,TJK,5.818283373673431e-07
"Tanzania, United Republic of",TZA,3.5373039615628684e-05
Thailand,THA,9.150795745728012e-05
Timor-Leste,TLS,4.883306118182862e-05
Togo,TGO,8.119837603247935e-06
Tokelau,TKL,0.0
Tonga,TON,0.0003292914422965173
Trinidad and Tobago,TTO,0.0016033584580492817
Tunisia,TUN,2.3129885964283154e-05
Turkey,TUR,3.853136177896935e-05
Turkmenistan,TKM,4.840963814847867e-06
